score,phrase
0.9885587809,unsharp masking
0.9885511511,intel corporation
0.9885471919,instant messenger
0.9885408151999999,root locus
0.9885351439,hamming weight
0.988532855,passage retrieval
0.9885311537,google chrome
0.9885225986,mp3 player
0.9885225986,cuckoo hashing
0.9885201458,kyushu university
0.9885174198000001,algorithmic skeletons
0.9885100123999999,microsoft office excel
0.9884921142,earth mover's distance
0.9884896731999999,diode rectifier
0.98848915,charles babbage
0.9884651512,ansys maxwell
0.9884559319,smith chart
0.9884200345,riemannian geometry
0.9884187990000001,amazon's mechanical turk
0.9884124587,floppy disk
0.9884071634,adobe flash
0.9883917581,trapdoor permutations
0.9883892651999999,repertory grid
0.9883879326999999,insurance company
0.9883599154,thompson sampling
0.9883546987,mozilla firefox
0.9883536883,labour market
0.9883332394,peak shaving
0.9883149551,brazilian portuguese
0.9883144789,ant colony optimisation
0.9883097489,blind deblurring
0.9883036882999999,precision farming
0.9882838987,senior lecturer
0.9882742011,graph isomorphism
0.9882737212,east java
0.9882735970000001,wordnet synsets
0.9882700345000001,health insurance
0.98822559,random walks
0.9882185693000001,mother wavelet
0.9882034231,telecom italia
0.9881858153,southern africa
0.9881738301,anonymous credentials
0.9881558672,naïve bayesian classifier
0.9881549198,special relativity
0.9881225986,arduino ide
0.9881218863,plasma physics
0.9880888004,minimum spanning tree
0.9880750523999999,battery chargers
0.988073665,embodied conversational agent
0.9880649551,eclipse ide
0.9880604756,nursing home
0.9880445189,forward chaining
0.9880404968000001,republik indonesia
0.9880149551,georgia tech
0.9880137726999999,invited talk
0.9880050772,healthy eating
0.9879894026,motion parallax
0.9879767652,mr angiography
0.9879663308,elliptic curve
0.9879600986,net neutrality
0.9879591708,contention resolution
0.9879494064,khan academy
0.9879449819,doubly stochastic
0.9879334078,ansys fluent
0.987932855,alzheimer disease
0.9879284089,princeton wordnet
0.9879052987000001,feedback linearization
0.9879052987000001,optic flow
0.9878995217000001,allan variance
0.9878966708,logistic map
0.9878966079000001,augmented virtuality
0.9878959604,weighted fair queuing
0.9878958179,von neumann
0.987870355,lower limbs
0.9878686261,medical school
0.9878587809,majority vote
0.9878482884,amd opteron
0.9878448851,business process outsourcing
0.9878149551000001,north sea
0.9878126271,costa rica
0.9878074819,middle east
0.9878056958,computed tomography angiography
0.9878037781,transitive closure
0.9878027820999999,efl esl
0.9877888004,emergency department
0.9877828290999999,error concealment
0.9877811456000001,spherical harmonics
0.9877661883,offshore outsourcing
0.9877661883,reading aloud
0.9877661883,smart glasses
0.9877507531999999,google glass
0.9877471918999999,jawa barat
0.9877463448,pareto frontier
0.987745792,mental imagery
0.9877446612999999,mirror descent
0.9877427329,multiple sclerosis
0.987732855,compact disc
0.987732855,conformance checking
0.9877325889,strange attractor
0.9877177091,light bulb
0.9877163308,cad cam
0.9877161865999999,doctoral consortium
0.987708755,quantum dots
0.9876995217,quantum chemistry
0.9876710156999999,kernelized correlation filter
0.987670355,style sheets
0.9876638585999999,northern ireland
0.9876575345,british english
0.9876371115000001,bin packing
0.9876292937000001,acoustic emission
0.9876244906,proximal policy optimization
0.9876217702,magnetic dipole
0.9876138622,lockheed martin
0.9876111619,microsoft office
0.9876111619,robotic surgery
0.9876087809,continuum mechanics
0.9876068137999999,javaserver faces
0.9876058345000001,imperial college
0.9875999748000001,acm sigchi
0.9875840865000001,presburger arithmetic
0.9875737381999999,cuckoo search
0.9875712659999999,gunadarma university
0.9875661883,activated sludge
0.9875587809,shopping cart
0.9875471954999999,west bengal
0.9875471919,congenital heart disease
0.9875408151999999,gini index
0.9875032565999999,ntt docomo
0.9875009054999999,mars rover
0.9874946613,levy flight
0.9874704448,nearest neighbour
0.987470355,smart factory
0.9874663308,sina weibo
0.9874625453,kaiser permanente
0.9874174198000001,beaglebone black
0.9874147868,sla violation
0.9873898409999999,great britain
0.9873879326999999,android studio
0.9873786592,rosetta stone
0.9873542497,biomed central
0.9873367011,android app
0.9873281861,apa style
0.9873266719,bounding box
0.9873161883,fine arts
0.9872857962,stacked generalization
0.9872625148999999,kabupaten sragen
0.9872580494,east africa
0.9872556988,verb tense
0.9872533678000001,covariate shift
0.987253072,dartmouth college
0.9872447699,coaxial cable
0.9872438929999999,yellow fever
0.9872341767,obo foundry
0.9872249748,simulink stateflow
0.9872148415,infinitely divisible
0.9872041254,eye fixations
0.9871995217,adult literacy
0.9871966079000001,blue waters
0.9871749748,argumentative essays
0.9871743635,pointing gestures
0.9871709163,steerable pyramid
0.9871617565,cell b.e
0.98715081,speculative execution
0.9871334776,epileptic spikes
0.9871315082,polynomial chaos expansions
0.9871194670000001,okapi bm25
0.9871180937999999,totally unimodular
0.9871144789,comsol multiphysics
0.9870888004,gene ontology
0.9870772262999999,relying party
0.9870667411,rolling shutter
0.9870649551,arduino uno r3
0.9870649551,amazon s3
0.9870619925,reverberation chamber
0.9870589234,multinomial naive bayes
0.9870427329000001,pearson correlation
0.9870352359000001,doctoral thesis
0.9870054540000001,variational autoencoder
0.9869962078,google maps
0.9869810014,sdh sonet
0.9869745147,inductive logic programming
0.9869723625,coordinated multipoint
0.9869662431999999,sun microsystems
0.9869644684000001,hl7 fhir
0.9869615068,gnu octave
0.9869614977,drexel university
0.9869591708,smart contract
0.9869557487999999,perfect secrecy
0.9869377064,north carolina
0.9869345384999999,carbon footprint
0.9869335281,rolling mills
0.9869334078,backward chaining
0.9869334078,symmetry breaking
0.9869238301000001,mainland china
0.9869197699,tcl tk
0.9869162567,universitas muhammadiyah surakarta
0.9869161865999999,doctoral dissertation
0.9869148656,moore's law
0.9869056631,concurrent engineering
0.9868982884,kinect v2
0.9868966708,digital twin
0.9868955173,opinion leaders
0.986889582,cray t3d
0.9868786592000001,apple watch
0.9868750515000001,barrett wam
0.9868742909999999,fiber optics
0.9868725969,san antonio
0.9868587809,marching cubes
0.986848828,night vision
0.9868428940999999,eating disorders
0.9868408152,byzantine fault tolerance
0.9868370217,art gallery
0.9868328533,south carolina
0.9868328533,universitas brawijaya
0.9868242832999999,south dakota
0.9868235940000001,canary islands
0.9868194221,authoring tool
0.9868194221,queueing theory
0.9868185693000001,affinity propagation
0.9868149551000001,htc vive
0.9868144058,montgomery ladder
0.9868121266,ultrasonic guided waves
0.9868056958,geostationary orbit
0.9868056958,gsm gprs
0.9867996641,delaunay triangulation
0.9867918837999999,session initiation protocol
0.9867827397,encoded archival description
0.9867742011,instruction fetch
0.9867727927,adult education
0.9867661883,predicate calculus
0.9867648415000001,superconducting fault current limiter
0.9867626271,quantifier elimination
0.9867624845999999,belief revision
0.9867574819,coordinate descent
0.9867560693,hardware trojans
0.9867554671,ambient intelligence
0.9867531033,doctoral symposium
0.9867473556,wireless lans
0.986745792,gamma correction
0.9867371387,peninsular malaysia
0.986732855,sharpe ratio
0.986732855,gantt chart
0.9867284231,reorder buffer
0.9867269328,tu dresden
0.9867252893999999,pilot contamination
0.9867217093999999,feedforward compensation
0.9866979365,galaxy zoo
0.9866962078,integer programming
0.9866917411,notre dame
0.9866901470999999,pengambilan gambar
0.9866850967,licensed shared access
0.9866792937000001,xen hypervisor
0.9866782521999999,dialog boxes
0.9866722489,electromagnetic bandgap
0.9866700345,lagrange interpolation
0.9866700345,room acoustics
0.9866663308,smith predictor
0.9866591708,immersive virtual reality
0.9866537522,uhf band
0.9866481989,microsoft excel
0.986632855,sphere decoding
0.9866162965,dry friction
0.9866144789,distant supervision
0.9866127792,contrast stretching
0.9866106311,purdue university
0.9866075345,manhattan distance
0.9865805253000001,sekolah dasar
0.9865791254,spline interpolation
0.9865747435,bell laboratories
0.9865660005,nagoya university
0.9865642144,water vapor
0.9865629348999999,scalp eeg
0.9865556062999999,compressive sampling
0.9865549089,majority voting
0.9865520451,economic dispatch
0.9865402606999999,monash university
0.9865397845,microsoft powerpoint
0.9865372539,tablet pcs
0.9865367011,subgroup discovery
0.9865337078,doppler effect
0.986532855,jaccard coefficient
0.9865282204000001,situated cognition
0.9865271773000001,principal axes
0.9865235698,nested loops
0.9865109479999999,diponegoro university
0.9865086126,wardrop equilibrium
0.986503998,autodesk maya
0.9864950898,carleton university
0.986482311,sgi altix
0.9864791513,preferential attachment
0.9864615068000001,apache tomcat
0.9864515159999999,atomic force microscopy
0.9864421142,polynomial chaos expansion
0.9864334078,spell checker
0.9864231179,pubmed central
0.9864114054,chapel hill
0.9864070715000001,bloom filters
0.9864006693999999,intel xeon
0.9863894026000001,digital radiography
0.9863755044,sequential monte carlo
0.9863651912000001,albert einstein
0.9863512052,chronic illness
0.9863466079000001,pareto frontiers
0.9863249748,piezoelectric transducer
0.9863161883,pdca cycle
0.9863003571,inferior colliculus
0.9863003571,stanford corenlp
0.9862931114,monocular slam
0.9862917182,lego mindstorms ev3
0.9862608372,algal bloom
0.9862489482,iaas clouds
0.986232855,starter kit
0.9862287156999999,virtual globe
0.9862231179000001,tsinghua university
0.9862200345000001,naive bayesian
0.9862056958,vax vms
0.9862056631,mechanical engineering
0.9862055823,ocular dominance
0.986190881,laplace transform
0.986190881,radon transform
0.9861700345000001,borda count
0.9861626901,skip lists
0.9861609967,hamming distance
0.9861212659999999,permutation entropy
0.9861073189,ip multimedia subsystem
0.9860938090000001,kohonen maps
0.9860920798,nursing homes
0.9860889429,automated teller machine
0.9860888004,motor imagery
0.9860867011,discrete logarithm
0.9860835265000001,earth sciences
0.9860767359,prefrontal cortex
0.9860708347,edit distance
0.9860696726,reunion island
0.9860683801000001,restful api
0.9860624845999999,proportional fairness
0.9860533678,mechanical turk
0.9860488004000001,kalman filtering
0.9860327437999999,terrestrial laser scanners
0.9860327396999999,harvard medical school
0.9860254476000001,michelson interferometer
0.9860210398,nuclear magnetic resonance
0.9860055823,angry birds
0.9859962078,matching pursuit
0.9859962078,predicate logic
0.9859962078,particle filtering
0.9859962078,robot manipulator
0.9859921142,silent data corruption
0.9859748831999999,powder metallurgy
0.9859745147,latent semantic indexing
0.9859745147,random forests
0.9859715754999999,smart meters
0.9859663308,record linkage
0.9859615890000001,atmel avr
0.9859597781,magnetic levitation
0.9859543715000001,central office
0.9859494064000001,neuromuscular electrical stimulation
0.9859480065,hasse diagram
0.9859457561,graduate student
0.9859439512,robot swarms
0.9859432562999999,mexico city
0.9859421142,spatial pyramid pooling
0.9859365587000001,moore’s law
0.985932855,lexical cohesion
0.985932855,zipf's law
0.9859316218,particulate matter
0.9859284472,semidefinite programming
0.9859265839,regulated cascode
0.9859258374,basis pursuit
0.9859161865999999,advisory committee
0.9859056958,personality trait
0.9859052987000001,test suite
0.9859052987000001,human capital
0.9859045993000001,master’s thesis
0.9858982884,merkle hash tree
0.9858806988,mild steel
0.9858780672,grobner bases
0.9858758374,american english
0.985870355,leap motion
0.9858682617,word meanings
0.9858632281,multinomial naïve bayes
0.9858587809,eigenvector centrality
0.9858587809,black holes
0.9858587809,triangle inequality
0.9858497432,euclidean distance
0.9858485887999999,precision agriculture
0.9858460843000001,synchronous dataflow
0.9858419459000001,forward secrecy
0.9858408152,block diagonalization
0.9858389454,raspberry pis
0.9858367011,abductive reasoning
0.9858293759000001,kabupaten magelang
0.9858261490000001,chesapeake bay
0.9858185693000001,google translate
0.9858185693000001,bilingual dictionary
0.9858181826000001,multilayer perceptron
0.985815008,multinomial logistic regression
0.9858118331,opengl shading language
0.9858106311,stanford university
0.9858088583,efl learners
0.9858074819,el nino
0.9858056958,retransmission timeout
0.9858037781,convex hull
0.9858033678,final exam
0.9857930569,moving target defense
0.9857762064,vanderbilt university
0.9857661883,tablet pc
0.9857661883,sensory substitution
0.9857661883,factory automation
0.9857661883,java applet
0.9857649551000001,sidelobe suppression
0.985764106,united states
0.9857628359999999,applied linguistics
0.9857626271,nearest neighbours
0.9857548948,tia eia
0.9857474106999999,acm sigmod
0.9857471918999999,jiangsu province
0.9857408678,ip spoofing
0.985732855,genome browser
0.985708755,horn clauses
0.9857041816,altera de2
0.9857012504000001,coast guard
0.9857006799,constant modulus
0.9856991256000001,esri arcgis
0.9856890821,associate editors
0.9856815354,euclidean geometry
0.9856803227,luby transform
0.9856776145999999,ripe atlas
0.9856752792,guard interval
0.9856663308,hough transform
0.9856569274,diagram konteks
0.9856537522,tie strength
0.9856515159999999,laser scanner
0.9856512064,waseda university
0.9856428662000001,entrez gene
0.9856425041,variance reduction
0.9856408151999999,tai chi
0.985635458,hinge loss
0.9856325714,methylene blue
0.9856315081999999,avalanche photodiodes
0.9856289979999999,nintendo wii
0.9856235940000001,peking university
0.9856097489,java beans
0.9856047809,richard feynman
0.9856012051999999,hurst exponent
0.9855981748999999,holy quran
0.9855959604000001,terrestrial laser scanning
0.9855958179000001,flipped classroom
0.985570355,natural deduction
0.9855625914,rgbd camera
0.9855587809,loopy belief propagation
0.9855507532,generative grammar
0.9855442812999999,george washington
0.9855415728,spike sorting
0.9855402606999999,mcgill university
0.9855363515000001,mpeg surround
0.985532855,diabetic foot
0.985532855,cronbach alpha
0.9855201245,mcmaster university
0.9855178718000001,weakest preconditions
0.9855174198000001,definite descriptions
0.985515008,textual entailment
0.9855123368,propositional logic
0.9855087659999999,princeton university
0.9855055823000001,hot potatoes
0.9855036883,graphical lasso
0.9854962078,tabu search
0.9854921142,digital radio mondiale
0.9854909632,cray xmt
0.9854887648,lagrangian multiplier
0.985479405,cohen’s kappa
0.9854741484999999,triple helix
0.9854669698999999,captive portal
0.9854661883,hoare logic
0.9854660301,baseline wander
0.9854623162999999,bounded rationality
0.9854377064000001,amazon ec2
0.985432855,coloured petri net
0.9854316218000001,estrogen receptor
0.9854309158,intermodulation distortion
0.9854283678,sap hana
0.9854200345,unconditionally secure
0.9854124587,sequent calculus
0.9854115068000001,google street view
0.9854083129000001,categorial grammar
0.9853960717,jikes rvm
0.9853954394,santa fe
0.9853868739,walter benjamin
0.9853766790999999,institutional repository
0.985370792,drug repositioning
0.9853631099,systolic blood pressure
0.9853587809000001,moral hazard
0.9853566708,boltzmann machine
0.9853560732,video tutorials
0.9853560693000001,transformational grammar
0.9853535622,intel haswell
0.9853468059999999,dialectal arabic
0.9853370217,maximum parsimony
0.9853359322,mississippi state university
0.9853319221,natural sciences
0.9853314618000001,altera stratix
0.9853248696,deformable template
0.9853149551,lqg ltr
0.9853128215000001,universitas diponegoro
0.9853113043,microsoft windows
0.9853026145999999,affymetrix microarray
0.9853015194,epidemic routing
0.9852916575,american sign language
0.9852867010999999,assisted living
0.9852821612999999,satisfiability checking
0.9852802090999999,spear phishing
0.9852793504999999,stochastic petri nets
0.9852745929000001,naïve bayes
0.9852732919,cs1 cs2
0.9852574488,differentiated services
0.9852532822,constraint propagation
0.9852507531999999,emotional contagion
0.9852494064,indigenous peoples
0.985237347,british telecom
0.9852252792,odds ratio
0.9852133311,radiated emissions
0.9852132865000001,semantic relatedness
0.9852066198,query reformulation
0.9852024309999999,amazon aws
0.985195217,kohonen map
0.9851859507999999,nmr spectroscopy
0.985185704,avian influenza
0.9851730564,genome rearrangements
0.9851723625,comic strips
0.9851723625,deformable mirror
0.985170355,interactive whiteboard
0.9851700345000001,martial arts
0.985169576,radiofrequency identification
0.9851644704000001,bipedal locomotion
0.9851500744,ansys cfx
0.985148667,ultrasound elastography
0.9851476354,gaussian quadrature
0.9851379326999999,steering committee
0.9851339043999999,wemos d1
0.9851312147,galois counter mode
0.9851268216,medicinal chemistry
0.9851234846,abi inform
0.9851230809,ibm db2
0.9851151122,outdated csi
0.9851095328,ghent university
0.9851075345,hadamard transform
0.9851045993,western europe
0.9851045993,executive committee
0.9850984340000001,marquette university
0.9850982884,computerized tomography
0.9850982884,terrestrial laser scanner
0.9850982884,kerangka kerja
0.9850966543,literary criticism
0.9850955087000001,photo album
0.9850933458,presidential elections
0.9850924911,alzheimer’s disease
0.9850879327,morphological analyzer
0.9850854656,sumatera utara
0.9850840865,bloom's taxonomy
0.9850802090999999,xor xnor
0.9850776763,veterinary medicine
0.9850661883,harris corner
0.9850649551,eu member states
0.9850624845999999,disturbance observer
0.9850554670999999,business process reengineering
0.9850517634,generalized processor sharing
0.985048024,streaming simd extensions
0.9850450898,intel mkl
0.9850404048,flow cytometry
0.9850344048999999,schmitt trigger
0.9850337291,faceted browsing
0.9850304940000001,typed lambda calculus
0.9850285503,minority game
0.9850224416,bipartite graph
0.98501843,interpretive structural modeling
0.9850173581999999,canon eos
0.9850074819,finger print
0.9850074819,slot filling
0.9850074819,word spotting
0.9850055823,slime mold
0.9850040617,organic compounds
0.9850006915999999,naval academy
0.9849942543000001,lookup table
0.9849884552,ansys hfss
0.9849771879000001,interactive graphics
0.9849705873000001,sinusoidal pulse width modulation
0.9849663308,voronoi diagram
0.9849663308,disaster recovery
0.9849663308,word embeddings
0.9849663308,consumer electronics
0.9849591708,empirical bayes
0.9849532822,teacher education
0.9849507531999999,cancelable biometrics
0.9849503593000001,bode plot
0.9849481989,google scholar
0.9849454189,pos taggers
0.9849345384999999,lateral inhibition
0.9849337078,grounded theory
0.9849334078,leaky bucket
0.984932855,quantum physics
0.984932855,insider threats
0.9849316218,universally composable
0.9849292937,intellectual property rights
0.9849292937,medial axis
0.984907392,kolmogorov complexity
0.9849052987000001,spoken language
0.9848999359999999,petroleum reservoirs
0.9848995217000001,clinical pathways
0.9848995217000001,snapshot isolation
0.9848988258,epipolar geometry
0.9848982884,landsat thematic mapper
0.9848962682,fiducial marker
0.9848853255,iso iec
0.9848806988,folk songs
0.9848778284999999,certificate authority
0.9848766791,русского языка
0.9848742909999999,qr decomposition
0.9848737381999999,spanning trees
0.984870355,common lisp
0.9848696848,solo taxonomy
0.9848646247,table lookup
0.9848567049,johns hopkins
0.9848482884,spec cpu2006
0.9848480597,kalman filters
0.9848408152,smooth pursuit
0.984840261,cholesky decomposition
0.9848389964,chemical engineering
0.9848367011,drug repurposing
0.984835948,eastern mediterranean
0.9848353255,fourier transforms
0.9848254476,myo armband
0.9848149551000001,uc berkeley
0.9848118331,alta vista
0.9848083082,featherweight java
0.9848074819,talking heads
0.9848055079000001,encryption decryption
0.9848019921,carbon monoxide
0.9847871773000001,nuclear weapons
0.9847863281999999,michigan state university
0.9847833818999999,pareto optimality
0.9847828290999999,wiener filter
0.9847783151999999,rollback recovery
0.9847742011,inverted index
0.984770355,dispute resolution
0.9847687698,nissan leaf
0.9847661883,traitor tracing
0.9847649551000001,dissolved oxygen
0.9847591577,netbeans ide
0.9847524628000001,dependency injection
0.9847496017,radio occultation
0.9847478123000001,google app engine
0.9847471918999999,magnetic resonance spectroscopy
0.9847463448,honey bees
0.984745792,systolic array
0.984745792,mental arithmetic
0.984745792,multiuser diversity
0.984742873,rajabhat university
0.9847417012,nasa langley
0.9847402607,syracuse university
0.9847254476,congestion avoidance
0.9847212518,prepositional phrase attachment
0.9847164226999999,oak ridge
0.9847028588,cad cam cae
0.9846991256000001,postgresql postgis
0.9846962078,autonomic computing
0.984688553,cancer therapy
0.9846875829999999,american football
0.9846734845999999,yahoo messenger
0.9846712662999999,venn diagram
0.9846704448,wind tunnel
0.984670355,yellow pages
0.984669892,participatory sensing
0.984669892,citizen science
0.9846663308,cellular automaton
0.9846661533,corona discharge
0.9846587809,particle image velocimetry
0.9846538440000001,android sdk
0.9846408151999999,flash eeprom
0.9846337078,lifelong learning
0.9846326968000001,wafer fabrication
0.9846291254,kappa statistic
0.984616807,gigabit ethernet
0.9846161623999999,brownian motion
0.9846159631999999,ivory coast
0.9845995217,living lab
0.9845959604000001,winter wheat
0.9845925041,flight simulator
0.9845919459,backward induction
0.9845882281,cray x1
0.9845867011,face hallucination
0.9845828533,bahasa melayu
0.9845790639,metabolic pathway
0.9845737462999999,ancient greek
0.9845685693,deterministic annealing
0.9845685693,discussion forum
0.9845670411,adaptive optics
0.9845615068000001,sparql endpoint
0.9845560199,graph cuts
0.9845517634000001,technological pedagogical content knowledge
0.9845364366,crystal oscillator
0.9845311456,profit maximization
0.9845300040999999,internet telephony
0.9845235698,cubic spline
0.9845200345,proof assistant
0.9845181826,naive bayes classifier
0.9845157104000001,university college london
0.9845152554000001,automatic differentiation
0.9845127475,czech republic
0.9845112382,harmony search
0.9845109479999999,lehigh university
0.9845071016,crossbar switch
0.9845036883,virtual observatory
0.9845026145999999,dewey decimal
0.9845019026,reaction kinetics
0.9844982884000001,opportunistic relaying
0.9844966708,hamming code
0.984492873,camtasia studio
0.9844921142,scaled conjugate gradient
0.9844848493,directed acyclic graphs
0.9844811456,haar wavelet transform
0.9844757222,datagram transport layer security
0.9844742011,sense disambiguation
0.9844700345,zika virus
0.9844663308,naive bayes
0.9844596641,stack overflow
0.9844545993000001,devanagari script
0.9844370534,nosql databases
0.9844359072,xbox kinect
0.9844334078,molecular beam epitaxy
0.9844309772,kronecker product
0.9844292937000001,generative adversarial nets
0.9844258373999999,wireless fidelity
0.9844227359000001,lifelong learners
0.9844200236,perancangan perangkat lunak
0.9844083559000001,wii remote
0.9844062249,ordinary kriging
0.9843960717,santa catarina
0.9843959604000001,fairy tales
0.9843958179000001,granger causality
0.9843945756999999,binary tree
0.9843945756999999,transport layer
0.9843922567,wavelet shrinkage
0.9843892651999999,gröbner bases
0.9843885558,rényi divergence
0.9843846809000001,feature extractor
0.9843754217,buffer overflow
0.984374291,slotted aloha
0.984371197,distributionally robust
0.984356549,hit ratio
0.9843564562999999,fused lasso
0.9843552197,left ventricle
0.9843531854,peter newmark
0.9843462306999999,remote labs
0.9843443253,chronic wounds
0.9843433457999999,embodied conversational agents
0.9843370217,explainable ai
0.9843370217,parallel tempering
0.9843355809000001,principal investigator
0.9843325736,binomial coefficients
0.9843320756999999,gray code
0.9843199488,approximate reasoning
0.9843166301,tall buildings
0.9843080768000001,microsoft azure
0.9843002792000001,predicate transformers
0.9842950386,mind mapping
0.9842911573,live sequence charts
0.9842892636,apache storm
0.9842841079000001,junior college
0.9842840865000001,bloom’s taxonomy
0.9842829118,active contour
0.9842829118,column generation
0.9842815553,lateral transshipment
0.9842742011,onion routing
0.9842734805,shannon’s entropy
0.9842662684000001,nasa ames
0.9842625618,cnf formulas
0.9842613920000001,stackelberg equilibrium
0.9842574819,big bang
0.9842570715000001,gibbs sampling
